ean,price,limit,true
2724276296223,0.01,30,true
2724335192008,0.01,8,true
2724287308878,0.01,15,true
2724341919170,0.01,30,true
2724565552917,0.01,25,true
2724294856966,0.01,35,true
2724693021156,0.01,15,true
2724326869995,0.01,25,true
2724444827440,0.01,8,true
2724278100146,0.01,15,true
2724607562102,0.01,15,true
2724285000118,0.01,35,true
2724289758732,0.01,35,true
2724269942038,0.01,25,true
2725424433026,0.01,25,true
2724443578879,0.01,4,true
2724332350944,0.01,15,true
2724468740732,0.01,15,true
2724317234436,0.01,45,true
2725606741161,0.02,45,true
2725603892743,0.01,125,true
2724675172753,0.01,145,true
2724959746441,0.01,29,true
2725607896976,0.02,45,true
2725612027136,0.02,45,true
2725602651891,0.01,75,true
2725404654830,0.02,125,true
2724475042942,0.01,75,true
2724745288155,0.01,30,true
2725605128543,0.01,57.75,true
2725209037722,0.01,15,true
2725606086460,0.01,399,false
2724297914724,0.01,7,true
2724665666569,0.01,15,true
2724447686051,0.01,17,true
2724616274751,0.03,175,true
2725605917840,0.01,145,true
2724338119101,0.01,225,true
2725263731062,0.01,175.0,false
2725612406696,0.01,175.0,true
2724328231974,0.01,10.0,true
2725606776743,0.01,18.7425,true
2725606776804,0.01,18.75,true
2724327656822,0.01,55.1925,true
2725608459118,0.01,50.0,true
2725605367034,0.01,93.75,true
2724530783599,0.01,6.0,true
2724934874039,0.01,48.75,true
2724269915988,0.01,23.25,true
2724288948387,0.01,26.25,true
2724301537758,0.01,57.75,true
2724320802967,0.01,14,true
2724303657379,0.01,22.425,true
2724299193271,0.01,31.5,true
2724714338201,0.01,15,true
2724299872916,0.01,51.75,true
2724667303622,0.01,21.0,true
2724640578320,0.01,39.0,true
2724441815488,0.01,25.0,true
2724641196301,0.01,15.0,true
2724446646292,0.01,41.25,true
2724285350916,0.01,18.0,true
2724303018347,0.01,44.25,true
2724558011780,0.01,35.25,true
2724329877522,0.01,36.75,true
2724280486917,0.01,54.75,true
2724307560248,0.01,54.75,true
2724335437666,0.01,9,true
2724328413080,0.01,24.75,true
2724340698632,0.01,39.75,true
2724300449793,0.01,35,true
2724564044024,0.01,44.25,true
2724647022895,0.01,39.75,true
2724663856597,0.01,19.5,true
2724526226277,0.01,15.75,true
2724333963389,0.01,59.25,true
2724562922829,0.01,36.75,true
2724611212307,0.01,51.0,true
2724299063369,0.01,18.75,true
2724694378860,0.01,48.75,true
2724593951461,0.01,36.75,true
2724296452104,0.01,26.25,true
2724295951769,0.01,41.25,true
2724296452050,0.01,41.25,true
2724296463056,0.01,41.25,true
2724655532744,0.01,10,true
2724454174268,0.01,35.775,true
2724292742193,0.01,35.0,true
2724452858030,0.02,9,true
2724709362709,0.01,40.5,true
2724623458533,0.01,20,true
2724651464995,0.01,39.0,true
2724555969091,0.01,32.25,true
2725605949780,0.01,38.76,true
2724326180120,0.01,51.7425,true
2724687714262,0.01,48.75,true
2724334755570,0.01,26.25,true
2724566267711,0.01,89.9925,true
2725603892743,0.01,149.25,true
2725613512945,0.01,90,true
2724315215390,0.01,90.0,true
2725399770171,0.01,160,true
2724571304760,0.01,63.0,true
2725603897410,0.01,175,true
2724309229693,0.01,62.25,true
2725049848649,0.01,336.75,true
2724327751480,0.01,273.75,true
2724626117932,0.01,198.75,true
2724259817025,0.01,102.75,true
2724528925840,0.01,131.25,true
2724471479728,0.01,540.75,true
2724623497686,0.01,86.25,true
2724397127079,0.01,206.25,true
2724336200863,0.01,93.75,true
2724564804994,0.01,281.25,true
2724735539304,0.01,108.75,true
2724336291847,0.01,157.5,true
2724717976561,0.01,96.75,true
2724585666694,0.01,168.75,true
2724602738212,0.01,96.75,true
2724751093019,0.01,104.25,true
2724442782840,0.01,108.75,true
2724586888866,0.01,25.0,true
2724539289139,0.01,198.75,true
2724791508634,0.01,93.75,true
2724289013459,0.01,74.25,true
2724710264511,0.01,96.75,true
2724289999746,0.01,96.75,true
2724677274943,0.01,18,true
2725611119887,0.01,224.25,true
2724468281747,0.01,250,true
2725602872180,0.01,65.25,true
2725188321164,0.01,105.0,true
2724707244335,0.01,93.75,true
2724447112048,0.01,89.25,true
2725611422796,0.02,374.97,true
2724265695464,0.01,48.75,true
2724651940017,0.01,225.0,true
2724603700317,0.01,153.75,true
2724679417621,0.01,105.0,true
2725610222953,0.01,365,true
2724305492442,0.01,89.25,true
2724960472711,0.01,339.63,true
2724746141794,0.01,393.705,true
2724302720722,0.01,127.5,true
2725603757790,0.01,115.0,true
2724461211543,0.01,224.25,true
2724960726074,0.01,373.4925,true
2724746542287,0.01,401.97,true
2725476341133,0.01,375,true
2725604732598,0.01,224.25,true
2724290112387,0.01,86.25,true
2724266505700,0.01,89.25,true
2725599022094,0.01,66.6075,true
2724299452408,0.01,101.25,true
2724297066270,0.01,74.25,true
2725037937171,0.01,186.75,true
2725101674650,0.01,75.0,true
2725424438342,0.01,25.0,true
2725597512825,0.01,29.0,true
2724599179845,0.01,50,true
2724708969015,0.01,25.0,true
2724443169398,0.01,40,true
2724320109752,0.01,5.9,true
2724335249009,0.01,12.0,true
2724285350596,0.01,15.0,true
2724466088072,0.01,20.0,true
2724648526507,0.01,25.0,true
2724300672887,0.01,25.0,true
2724875120523,0.01,30.0,true
2724338383717,0.01,25.0,true
2724447735728,0.01,25.0,true
2724562703954,0.01,25.0,true
2724735549396,0.01,45.0,true
2724832280444,0.01,30.0,true
2724338173714,0.01,30.0,true
2724296341491,0.01,25.0,true
2724724919001,0.01,25.0,true
2724336304677,0.01,45.0,true
2724488322819,0.02,30.0,true
2724316988361,0.02,30.0,true
2724472004745,0.01,45.0,true
2724297601983,0.01,45.0,true
2724296342351,0.01,45.0,true
2725602696793,0.01,45.0,true
2724646375152,0.01,35.0,true
2724456648934,0.01,45.0,true
2724603630584,0.01,45.0,true
2724321817243,0.01,45.0,true
2724307560354,0.01,15.0,true
2724342707844,0.01,75.0,true
2724602375776,0.01,55.0,true
2724559590550,0.01,125.0,true
2724640185665,0.01,125.0,true
2725608547792,0.01,45.0,true
2724651021501,0.01,15.0,true
2724526438502,0.01,7.0,true
2724296340579,0.01,25.0,true
2724708155128,0.01,45.0,true
2724787950881,0.01,25.0,true
2724702412210,0.01,45.0,true
2724331128773,0.01,28.0,true
2724675814448,0.01,95.0,true
2724338168482,0.01,95.0,true
2724651047075,0.01,45.0,true
2724276964504,0.01,33,true
2724304492221,0.01,95.0,true
2724680361401,0.01,95.0,true
2724591223805,0.01,75.0,true
2724716840177,0.01,95.0,true
2724278049827,0.01,95.0,true
2724701852888,0.01,125.0,true
2724467838119,0.01,125.0,true
2724837523683,0.01,40.0,true
2724692986326,0.01,25.0,true
2725586665228,0.01,110,true
2724666751646,0.01,199.0,true
2724696503864,0.01,340,true
2724606667389,0.01,75.0,true
2725517321292,0.01,9.0,true
2724343444441,0.01,175.0,true
2724296565958,0.01,7.0,true
2724786736684,0.02,30.0,true
2725424438540,0.02,22,true
2724687142805,0.02,22.0,true
2725610683051,0.01,199.0,true
2725610689978,0.01,150,true
2725609220748,0.01,120,true
2724674782601,0.01,40.0,true
2724288269475,0.01,20.0,true
2725600019426,0.01,200.0,true
2724607423526,0.01,20.0,true
2724528706548,0.01,7,true
2724960483564,0.01,375.0,true
2724651966765,0.01,360,true
2724651293106,0.01,38.5575,true
2724634325138,0.01,93.75,true
2725124266566,0.01,30.0,true
2724462352283,0.01,175.0,true
2725446007434,0.01,212.1825,true
2724283749118,0.01,41.2425,true
2724455254471,0.01,90.0,true
2724286760929,0.01,80.0,true
2724310823415,0.01,65.0,true
2724277490682,0.01,93.75,true
2724277998607,0.01,79.0,true
2724297983140,0.01,80.0,true
2724298252498,0.01,20.0,true
2724342201052,0.01,146.25,true
2724579975207,0.01,111.75,true
2724495302743,0.01,78.75,true
2724495402610,0.01,78.75,true
2724441909293,0.01,41.7975,true
2724464451694,0.01,30.0,true
2724342659051,0.01,48.75,true
2724381464579,0.01,50.0,true
2725483284805,0.01,74.8875,true
2724327315637,0.01,125.0,true
2724669765411,0.01,35.0,true
2724642579578,0.01,224.25,true
2724339231185,0.01,26.25,true
2724305100774,0.01,23.055,true
2724565546527,0.01,12.0,true
2724295952636,0.01,37.4925,true
2724273450437,0.01,20,true
2724294021371,0.01,15.0,true
2724318806502,0.01,27.03,true
2724318692792,0.01,23.055,true
2724318782738,0.01,23.25,true
2724457314920,0.01,55.0,true
2724552815032,0.01,22.4925,true
2724294671712,0.01,12.0,true
2724273170250,0.01,149.25,true
2724337793562,0.01,224.25,true
2724716474983,0.01,26.25,true
2724710458842,0.01,48.6975,true
2724593860190,0.01,149.25,true
2725517137343,0.01,261.75,true
2724295894998,0.01,26.25,true
2724310191484,0.01,60.0,true
2724734643767,0.01,67.4925,true
2725019107301,0.01,120,true
2724291750236,0.01,35.25,true
2724330425989,0.01,7.0,true
2724269032128,0.01,21.7425,true
2724599114228,0.01,36.75,true
2724458372424,0.01,60.0,true
2724468736650,0.01,93.75,true
2724579910567,0.01,111.75,true
2724277323379,0.01,20.25,true
2724466536801,0.01,175.0,true
2724289020563,0.01,10.0,true
2724342323976,0.01,157.5,true
2724441960485,0.01,25.0,true
2724288948141,0.01,7,true
2724342729860,0.01,27.5625,true
2725514903866,0.01,147.7425,true
2725251285324,0.01,225.0,true
2725107026507,0.01,299.25,true
2725510104526,0.01,99.5625,true
2725116751544,0.01,105.0,true
2724634258016,0.01,93.75,true
2724284257872,0.01,149.25,true
2724289312613,0.01,187.5,true
2724634757618,0.01,149.25,true
2724651972339,0.01,35.0,true
2724623099606,0.01,35.0,true
2724526537878,0.01,111.75,true
2724289376790,0.01,37.5,true
2724301273953,0.01,75.0,true
2724295676976,0.01,74.25,true
2724295677225,0.01,33.7425,true
2724291673818,0.01,6.0,true
2724808846902,0.01,48.75,true
2724970448133,0.01,75.0,true
2724657025787,0.01,9.4875,true
2724837974911,0.01,14,true
2724288952070,0.01,35.0,true
2724290992361,0.01,11.0,true
2724293513778,0.01,26.25,true
2724298329657,0.01,56.25,true
2724328276838,0.01,17.9925,true
2724317551977,0.01,21.0,true
2724328112532,0.01,12.0,true
2724500020235,0.01,75.0,true
2724306693916,0.01,56.25,true
2724676532907,0.01,57.7425,true
2724443448707,0.01,3.75,true
2724331243315,0.01,26.1525,true
2724291150203,0.01,36.75,true
2724296338514,0.01,18.0,true
2724303537008,0.01,111.75,true
2725307056076,0.01,85.0,true
2724921518755,0.01,130.0,true
2724599654632,0.01,75.0,true
2724451181894,0.01,100.0,true
2724604711374,0.01,142.5,true